name,img_link,description,tags,ingredients,recipe,about
Rainbow cocktail,/media/k2/items/cache/1519e954ae6bd629544356cae3e51766_S.jpg,Le Rainbow Cocktail : une recette aux couleurs de l'arc-en-ciel.,Direct au verre; Jus d’orange; Sirop de grenadine; Vodka; Curacao bleu,3 cl de vodka; 2 cl de Curaçao Bleu; 8 cl de jus d'orange; 2 cl de sirop de grenadine,"Mélanger dans un petit recipient ou verre la vodka et le curaçao bleu, mettre ce mélange de côté pour plus tard.; Remplir le verre de glaçons.; Verser dans le verre le sirop de grenadine.; Verser le jus d'orange (la présence de glaçons va permettre d'étager les ingrédients).; Verser le mélange vodka/curacao préparé à l'étape 1.","Rainbow Cocktail signifie Cocktail Arc-en-ciel, il s'agit de la version simplifiée que nous vous proposons ici car vous pouvez aussi ajouter du jus d'ananas au dessus du jus d'orange."
Espresso Martini,/media/k2/items/cache/15d43aef6c8a5134e1fc00a9c98b8ab0_S.jpg,Le cocktail Espresso Martini : une recette créée par Dick Bradsell.,Cocktail classique; Au shaker; Vodka; Liqueur / crème de café; Sirop de sucre; Café,3 cl de vodka; 2 cl de liqueur de café (Kahlua...); 6 cl de café fraîchement préparé; 1 cl de sirop de sucre,"Frapper au shaker avec quelques glaçons la vodka, la liqueur de café, le café et le sirop de sucre.; Verser dans un verre à martini en filtrant la glace.; Déposer 3 grains de café sur la surface (mousseuse) du cocktail.","Le Espresso Martini est un cocktail composé de vodka, liqueur de café, sucre et café expresso frais, il a été créé en 1984 par le barman londonien Dick Bradsell."
Americano,/media/k2/items/cache/aaa036e4cb16038f90e128d8e39c714f_S.jpg,Le cocktail Americano : un grand classique des amers à déguster en apéritif.,Direct au verre; Cocktail classique; Eau gazeuse; Campari; Vermouth rouge,4 cl de Campari; 4 cl de vermouth rouge; 7 cl d'eau gazeuse,"Verser le Campari, le vermouth rouge puis l'eau gazeuse directement dans un verre contenant quelques glaçons.; Remuer délicatement à l'aide d'une cuillère à mélange.; Insérer une demi-rondelle d'orange.","Le cocktail Americano est un classique de la mixologie, connu pour sa simplicité et sa fraîcheur. Bien que son nom suggère une origine américaine, son histoire remonte en réalité à l'Italie au début du XXe siècle. L'Americano, dans sa forme moderne, est une boisson qui combine les saveurs amères du vermouth rouge, de l'amaro (souvent le Campari), et l'effervescence de l'eau gazeuse."
Sex on the Beach,/media/k2/items/cache/7293a47c0f4cdddd46ff10bcf3d23287_S.jpg,Le Sex on the beach : la recette courante d'un cocktail au nom sexy.,Cocktail classique; Au shaker; Jus d’orange; Vodka; Jus de canneberge; Liqueur / crème de pêche,4 cl de vodka; 2 cl de liqueur de pêche (Peach schnapps...); 5 cl de jus de canneberge (Cranberry); 5 cl de jus d'orange,"Frapper au shaker avec quelques glaçons la vodka, la liqueur de pêche, le jus d'orange et le jus de canneberge.; Filtrer dans un verre rempli de glaçons et garnir avec des demi-rondelles d'orange.","L'origine exacte du Sex on the Beach fait l'objet de plusieurs versions, mais il est généralement admis que ce cocktail a été créé dans les années 1980, bien que certaines sources suggèrent qu'il pourrait dater de la fin des années 1970. Ce cocktail fruité et sucré a d'abord fait son apparition dans les bars de Floride, en particulier dans la ville de Miami, avant de se répandre dans d'autres régions des États-Unis et au-delà."
Paloma,/media/k2/items/cache/4246b121d2dc949b8f082c5f57840a3b_S.jpg,"Paloma : le cocktail préféré des mexicains, devant même la Margarita !",Direct au verre; Jus de citron; Jus de pamplemousse; Eau gazeuse; Sirop de sucre; Tequila,5 cl de tequila; 2 cl de jus de citron vert; 1 cl de sirop de sucre; 5 cl de jus de pamplemousse; 2 cl d'eau gazeuse,Verser les ingrédients dans un verre contenant des glaçons puis mélanger.; Garnir avec un quartier de pamplemousse ou une rondelle de citron vert.,"Véritable icône de la culture mexicaine, le Paloma est un cocktail pétillant et rafraîchissant à base de tequila et de soda au pamplemousse. Moins connu à l’international que la Margarita, il est pourtant l’un des cocktails les plus appréciés au Mexique."
Monaco,/media/k2/items/cache/ccbca3752adf58a776d876d7a7de9edc_S.jpg,Le cocktail Monaco : la recette d'une des boissons les plus connues de France.,Direct au verre; Sirop de grenadine; Bière; Limonade,3 cl de sirop de grenadine; 11 cl de limonade; 11 cl de bière blonde,Verser dans un verre à bière le sirop de grenadine.; Compléter avec la limonade puis la bière.,"L’histoire du Monaco n’est pas aussi documentée que celle des grands classiques du cocktail, mais il trouve ses racines en France, où les mélanges à base de bière sont très populaires. Inspiré par des boissons comme le Panaché (mélange de bière et de limonade) ou le Demi-Pêche (bière et sirop de pêche), le Monaco ajoute une touche sucrée et colorée avec la grenadine.; Bien que son nom évoque la Principauté de Monaco, il n’existe aucune preuve que le cocktail y ait été inventé. Il est probable que le nom ait été choisi pour évoquer une boisson chic, rafraîchissante et ensoleillée, en lien avec l’image glamour et méditerranéenne de Monaco.; Le Monaco s’est popularisé dans les bars et bistrots français, devenant un incontournable des consommations légères, en particulier l’été."
Malibu Sunrise,/media/k2/items/cache/7af0193b8351bd1eb04c09dfe5731fa3_S.jpg,Le cocktail Malibu Sunrise : une variante de la célèbre Tequila Sunrise.,Direct au verre; Jus d’orange; Sirop de grenadine; Malibu coco,6 cl de Malibu Coco; 8 cl de jus d'orange; 1 cl de sirop de grenadine,Remplir le verre de glace.; Verser directement dans le verre le Malibu puis le jus d'orange.; Verser le sirop de grenadine qui va se déposer au fond du verre.; Décorer avec une tranche d'orange.,"Le cocktail Malibu sunrise est une variante de la fameuse Tequila Sunrise que tout le monde connaît, la tequila d'origine est ici remplacée par du Malibu qui est un rhum doux aromatisé à la noix de coco."
Orgasme,/media/k2/items/cache/28b8f12309e9ac4afaade20e5d04ffc2_S.jpg,Le cocktail Orgasme : un short drink onctueux et très savoureux !,Au shaker; Liqueur / crème de café; Crème fraîche; Liqueur d’amandes; Baileys,3 cl de Baileys; 3 cl de Kahlua; 3 cl de Amaretto,"Frapper au shaker avec quelques glaçons le Baileys, la liqueur de café Kahlua et l'Amaretto.; Filtrer dans un verre old fashioned rempli de glaçons.","Le cocktail Orgasme (""orgasm"" à l'étranger) n'a pas d'origine connue. Quelques recettes légèrement différentes existent sous ce même nom mais elles ont généralement toutes en commun la liqueur d'amandes et le Baileys. Mais c'est cette recette qui est la plus commune.; Une version semblable existe en shooter, voir la recette du Shooter Orgasme."
Virgin Mojito,/media/k2/items/cache/0d1fd34f22c9730e91eb5170fbddc114_S.jpg,Le Virgin Mojito : la vraie recette de la version sans alcool du mojito.,Direct au verre; Jus de citron; Eau gazeuse; Menthe fraîche; Sirop saveur rhum,3 cl de sirop saveur rhum; 4 cl de jus de citron vert; 7 ou 8 feuilles de menthe verte; 4 ou 5 quartiers de citron vert; 8 cl d'eau gazeuse,"Directement dans le verre, insérer la menthe fraîche et le jus de citron vert.; Piler la menthe.; Insérer les quartiers de citron vert.; Remplir le verre de glace pilée.; Verser le sirop saveur rhum puis l'eau gazeuse.; Mélanger à l'aide d'une cuillère à mélange.; Décorer avec un brin de menthe fraîche.","Le succès du Virgin Mojito dans les bars à travers le monde n’est pas surprenant. Il répond à un besoin de plus en plus présent dans la société actuelle : celui d’offrir des boissons sans alcool aussi sophistiquées et plaisantes que leurs homologues alcoolisées. Ce cocktail est aujourd'hui fréquemment proposé dans les cartes des restaurants, bars et événements. Il s'est également imposé lors de soirées privées ou d'événements où l'alcool est limité, tout en restant une alternative élégante et rafraîchissante pour tous les âges."
Kir,/media/k2/items/cache/5d9bd784bfd234610bf8ba15e7ad6a4e_S.jpg,Le Kir : la recette d'un apéritif qui ne se réalise pas avec n'importe quel vin blanc.,Direct au verre; Cocktail classique; Vin blanc; Crème de cassis,2 cl de crème de cassis; 10 cl de Bourgogne aligoté,Verser directement dans une flûte la crème de cassis.; Compléter avec du Bourgogne aligoté frais.,"Le Kir porte le nom de Félix Kir, un prêtre et homme politique français né en 1876 à Dijon, dans la région de la Bourgogne. C’est lui qui aurait popularisé cette boisson dans les années 1940, bien que la pratique de mélanger du vin blanc et du cassis ait une histoire plus ancienne. Félix Kir, après la Seconde Guerre mondiale, est devenu maire de la ville de Dijon. Il servait ce cocktail dans le cadre de réceptions et de festivités pour promouvoir les produits locaux, notamment le crème de cassis de Dijon, une spécialité de la région.; Le Kir est donc né d’un mélange simple mais astucieux entre vin blanc de Bourgogne (souvent un Aligoté, un cépage typique de la région) et crème de cassis, un liqueur fabriquée à base de baies de cassis macérées dans de l'alcool et du sucre. En associant ce mélange à sa ville, Félix Kir a contribué à en faire un apéritif emblématique non seulement de Dijon, mais aussi de la France entière."
Pornstar Martini,/media/k2/items/cache/16db9b88d9515580a78d5965b066ac2d2_S.jpg,Le cocktail Pornstar Martini : une recette exotique qui met à l'honneur le fruit de la passion.,Cocktail classique; Au shaker; Vodka; Purée de fruit de la passion; Passoã,2 cl de Passoã; 4 cl de vodka; 3 cl de purée de fruit de la passion; 1 demi fruit de la passion; 2 cl de sirop de vanille,"Frapper au shaker avec quelques glaçons la vodka, la purée de fruit de la passion, la liqueur Passoã et le sirop de vanille.; Verser dans un verre en filtrant la glace du shaker.; Poser le demi fruit de la passion sur le cocktail, il doit flotter.; Accompagner le cocktail d'une coupe de Champagne.","La recette du cocktail Pornstar Martini a été créée par Douglas Ankrah du LAB Bar à Londres. À l'origine ce cocktail a été mis au point à Cape Town en Afrique du Sud et était appelé le Maverick Martini.; Les Pornstars Martinis peuvent se réaliser de plusieurs manières, notamment au niveau de la présence de vanille. Certains suppriment le sirop de vanille et remplacent la vodka par de la vodka vanille, d'autres font brûler du sucre de vanille sur le demi fruit de la passion.; Ce cocktail s'accompagne généralement d'une coupe de Champagne ou d'un shooter."
Hurricane,/media/k2/items/cache/2ec788b5d2483f73e1f9efd1de8baaf4_S.jpg,Le cocktail Hurricane : une recette tiki des années 40 qui signifie ouragan.,Au shaker; Jus d’orange; Sirop de grenadine; Jus de citron; Jus d’ananas; Jus de fruits de la passion; Rhum ambre,"4,5 cl de rhum ambré; 4 cl de d'ananas; 4 cl de jus d'orange; 1,5 cl de jus de citron vert pressé et filtré; 1 cl de sirop de grenadine","Remplir un verre de glaçons.; Frapper au shaker avec des glaçons le rhum, les 2 jus de fruits, le jus de citron et le sirop de grenadine.; Verser dans le verre en filtrant la glace.; Décorer avec une tranche d'orange ou de citron.","Le Hurricane est un cocktail emblématique de La Nouvelle-Orléans, une ville riche en traditions et en culture du cocktail. Son histoire remonte aux années 1940, en plein cœur de la Seconde Guerre mondiale, lorsque les restrictions sur certains alcools ont poussé les barmen à faire preuve de créativité."
Sweet Poison,/media/k2/items/cache/da89514e409822180ac867ab6712269d_S.jpg,Le cocktail Sweet Poison : vous êtes prévenus vous allez l'adorer 😉,Au shaker; Rhum; Jus d’ananas; Curacao bleu; Malibu coco,2 cl de Rhum; 3 cl de Malibu Coco; 3 cl de Curaçao Bleu; 7 cl de jus d'ananas,"Remplir un verre de glace.; Frapper au shaker le rhum, le Malibu coco et le jus d'ananas.; Verser dans le verre le curaçao bleu.; Filtrer dans le verre puis garnir avec un quartier de citron.","Le cocktail Sweet Poison (doux poison) a été créé par un barman du New York's Jekyll and Hyde Club.; Avec son dégradé bleu-vert-jaune établi grâce au curacao bleu, le Sweet Poison est un cocktail qui attire le regard et la curiosité. C'est ce qui fait de ce cocktail l'une des recettes phare de l'établissement."
Amaretto Sunrise,/media/k2/items/cache/ce742d950ca63a98d59ecec5eba0da2e_S.jpg,Le cocktail Amaretto Sunrise : une variante de la Tequila Sunrise où l'Amaretto remplace la tequila.,Direct au verre; Jus d’orange; Sirop de grenadine; Liqueur d’amandes,6 cl de Amaretto; 8 cl de jus d'orange; 1 cl de sirop de grenadine,Insérer quelques glaçons dans le verre.; Verser la liqueur d'amande Amaretto puis le jus d'orange.; Verser le sirop de grenadine qui va se déposer au fond et créer un dégradé.; Décorer optionnellement avec un quartier ou une rondelle d'orange.,"Le cocktail Amaretto Sunrise est une variante de la célèbre Tequila Sunrise, la liqueur d'amande italienne Amaretto vient ici remplacer la tequila d'origine.; Cette recette, qui sera très largement appréciée de celles et ceux qui aiment les cocktails doux et fruités, inspire de par sa couleur un lever de soleil et ce n'est pas un hasard. La Tequila Sunrise aurait été inventée très exactement dans ce but !"
Margarita,/media/k2/items/cache/01f1a05053c6242fcfa23075e5b963c1_S.jpg,"La Margarita : une recette mexicaine composée de tequila, Cointreau et jus de citron vert.",Cocktail classique; Au shaker; Triple sec (Cointreau); Jus de citron; Tequila,4 cl de tequila; 2 cl de Cointreau; 2 cl de jus de citron vert pressé et filtré,"Givrer de sel le verre à margarita.; Frapper au shaker avec des glaçons la tequila, le Cointreau et le jus de citron.; Filtrer dans un verre.","La Margarita, ce cocktail emblématique à base de tequila, de triple sec et de jus de citron vert, incarne à elle seule l’esprit festif et ensoleillé du Mexique. Pourtant, ses origines restent enveloppées de mystère, plusieurs histoires revendiquant sa création.; L’une des théories les plus populaires attribue l’invention de la Margarita à Carlos ""Danny"" Herrera, un barman mexicain qui, dans les années 1930 ou 1940, aurait conçu ce cocktail pour une danseuse allergique aux alcools forts sauf à la tequila. Une autre légende raconte qu’elle aurait été créée en 1948 par Margaret ""Margarita"" Sames, une mondaine texane qui aurait servi ce mélange lors d’une fête dans sa villa d’Acapulco.; D’autres récits évoquent des barmans de Tijuana ou encore de Juárez, qui auraient développé la Margarita comme une version raffinée du Daisy, un cocktail classique dont le nom signifie… ""Marguerite"" en espagnol !; Quelle que soit son véritable créateur, la Margarita a conquis le monde grâce à son équilibre parfait entre acidité, douceur et intensité. Servie avec un bord de sel qui sublime les saveurs, elle est aujourd’hui déclinée sous de nombreuses variantes et reste l’un des cocktails les plus appréciés à l’international."
Punch sans alcool pour les enfants,/media/k2/items/cache/11b8145be285a17777ee4d809bfd4d09_S.jpg,"La recette d'un punch sans alcool facile et rapide pour les enfants, parfait pour leurs anniversaires et autres fêtes !",Direct au verre; Jus d’orange; Sirop de grenadine; Jus de pamplemousse; Limonade; Jus d’ananas,"1 litre de jus d'orange; 1 litre de jus d'ananas; 1 litre de jus de pamplemousse; 1 litre de limonade; 0,5 litre de sirop de grenadine","Remplir à moitié un grand saladier ou bol à punch de glaçons.; Verser le jus d'orange, le jus d'ananas et le jus de pamplemousse (les jus doivent être frais).; Verser la limonade puis remuer légèrement.; Verser le sirop de grenadine qui va se déposer au fond et créer un dégradé.; Servir ! Ne laissez pas reposer au frigo, c'est inutile car il n'y a pas de fruits à faire macérer, la limonade va perdre son pétillant et les glaçons vont un peu noyer le punch !","C'est donc une recette super facile d'un Punch sans alcool que Cocktail Mag vous propose, un punch idéal pour les fêtes de vos enfants !; Rien de plus simple, rien de plus rapide, même pas besoin de doser, et pas besoin non plus de laisser reposer le punch au frigo !; Vous verrez vos enfants vont adorer ... et vous aussi ;)"
Batman,/media/k2/items/cache/d26f2d3a8ff5583681ac68eec63fdc44_S.jpg,"Le cocktail Batman : une recette sans alcool très simple, destinée aux enfants.",Direct au verre; Jus d’orange; Sirop de grenadine; Limonade,2 cl de sirop de grenadine; 12 cl de jus d'orange; 6 cl de limonade,"Remplir un verre de glaçons.; Verser directement dans le verre le sirop de grenadine, le jus d'orange puis la limonade.; Décorer avec une rondelle d'orange.","Le Batman est un cocktail sans alcool très simple à réaliser et fait d'ingrédients très basiques, c'est une recette largement destinée aux enfants."
Cardinal,/media/k2/items/cache/8b0dca3b357fcee94cf1b8a6c08994ea_S.jpg,Le cocktail Cardinal : une variante du célèbre kir mais avec du vin rouge.,Direct au verre; Vin rouge; Crème de cassis,2 cl de crème de cassis; 10 cl de vin rouge de Bourgogne,Verser directement dans un verre à vin la crème de cassis puis le vin rouge.,"Le cocktail Cardinal est un descendant du kir, fameux apéritif d'origine bourguignonne. Les cardinaux s'appelleraient ainsi pour leur robe pourpre, ils accepteraient donc tout vin rouge de Bourgogne (ou proche) ne compromettant pas cette robe."
Rainbow cocktail sans alcool,/media/k2/items/cache/0fcccca5b510e5bb86a94045046d252d_S.jpg,Le Virgin Rainbow Cocktail : une recette sans alcool couleur arc-en-ciel !,Direct au verre; Jus d’orange; Sirop de grenadine; Limonade,2 cl de sirop de grenadine; 13 cl de jus d'orange; 5 cl de limonade; 3 gouttes de colorant alimentaire liquide bleu,Remplir le verre de glaçons (leur présence va permettre aux prochains ingrédients de s'étager tout seuls).; Verser le sirop de grenadine puis le jus d'orange.; Verser la limonade préalablement mélangée avec 3 gouttes de colorant alimentaire.,"Le Rainbow cocktail sans alcool, ou Virgin Rainbow Cocktail, est une boisson à étages aux couleurs de l'arc-en-ciel, idéale pour les enfants. Il s'agit de la version sans alcool du vrai Rainbow Cocktail réalisé à l'origine avec de la vodka et du curaçao bleu."
Jamaïcan Mule,/media/k2/items/cache/45245952fc8c5c5e099a3e444bf8f32a_S.jpg,Le cocktail Jamaïcan Mule : une variante du Moscow Mule avec du rhum à la place de la vodka.,Direct au verre; Jus de citron; Rhum; Ginger beer,5 cl de rhum; 2 cl de jus de citron vert; 8 cl de Ginger Beer,"Verser directement dans un mug en cuivre avec quelques glaçons le rhum, le jus de citron vert et la bière au gingembre.; Remuer à l'aide d'une cuillère à mélange.","Le cocktail Jamaïcan Mule est une variante du Moscow Mule où la vodka d'origine est remplacée par du rhum. Toujours aussi simple et rapide à réaliser, et toujours aussi bon et désaltérant !"
